cities_60_1.dat results: (['c52', 'c50', 'c49', 'c12', 'c43', 'c8', 'c36', 'c55', 'c32', 'c17', 'c26', 'c0', 'c27', 'c56', 'c19', 'c47', 'c34', 'c4', 'c7', 'c14', 'c45', 'c16', 'c22', 'c10', 'c53', 'c51', 'c21', 'c37', 'c15', 'c18', 'c57', 'c5', 'c40', 'c24', 'c30', 'c29', 'c39', 'c13', 'c44', 'c9', 'c2', 'c48', 'c58', 'c31', 'c1', 'c11', 'c42', 'c38', 'c46', 'c20', 'c35', 'c33', 'c6', 'c3', 'c54', 'c23', 'c41', 'c28', 'c25', 'c59'], 1925.470527758225)
cities_60_2.dat results: (['c11', 'c52', 'c39', 'c59', 'c38', 'c36', 'c42', 'c28', 'c54', 'c44', 'c16', 'c31', 'c34', 'c50', 'c41', 'c43', 'c14', 'c58', 'c48', 'c12', 'c4', 'c47', 'c22', 'c35', 'c56', 'c32', 'c7', 'c30', 'c25', 'c21', 'c40', 'c29', 'c3', 'c51', 'c19', 'c2', 'c18', 'c33', 'c5', 'c55', 'c9', 'c20', 'c15', 'c49', 'c53', 'c17', 'c6', 'c8', 'c57', 'c13', 'c0', 'c24', 'c10', 'c46', 'c37', 'c45', 'c23', 'c26', 'c1', 'c27'], 1782.1354274906887)
cities_60_3.dat results: (['c0', 'c56', 'c53', 'c32', 'c13', 'c3', 'c10', 'c26', 'c5', 'c15', 'c18', 'c7', 'c6', 'c30', 'c36', 'c40', 'c55', 'c27', 'c12', 'c54', 'c21', 'c14', 'c28', 'c39', 'c29', 'c34', 'c41', 'c38', 'c25', 'c42', 'c51', 'c47', 'c59', 'c31', 'c45', 'c37', 'c57', 'c58', 'c49', 'c2', 'c24', 'c46', 'c52', 'c50', 'c22', 'c19', 'c17', 'c33', 'c1', 'c11', 'c4', 'c48', 'c9', 'c20', 'c23', 'c8', 'c16', 'c35', 'c44', 'c43'], 1557.400445105938)
cities_60_4.dat results: (['c14', 'c18', 'c6', 'c54', 'c12', 'c27', 'c9', 'c24', 'c43', 'c4', 'c25', 'c33', 'c40', 'c5', 'c50', 'c49', 'c10', 'c30', 'c39', 'c45', 'c41', 'c29', 'c3', 'c46', 'c59', 'c52', 'c37', 'c55', 'c26', 'c8', 'c48', 'c53', 'c21', 'c19', 'c0', 'c57', 'c15', 'c31', 'c23', 'c58', 'c7', 'c22', 'c16', 'c11', 'c20', 'c42', 'c17', 'c35', 'c56', 'c1', 'c47', 'c34', 'c32', 'c2', 'c13', 'c38', 'c36', 'c51', 'c44', 'c28'], 1550.506506145416)
cities_60_5.dat results: (['c2', 'c15', 'c43', 'c52', 'c26', 'c10', 'c4', 'c13', 'c6', 'c9', 'c49', 'c47', 'c48', 'c59', 'c53', 'c33', 'c58', 'c42', 'c18', 'c14', 'c41', 'c7', 'c44', 'c50', 'c21', 'c55', 'c54', 'c35', 'c23', 'c37', 'c12', 'c5', 'c38', 'c51', 'c24', 'c11', 'c16', 'c32', 'c30', 'c1', 'c0', 'c40', 'c31', 'c3', 'c19', 'c20', 'c34', 'c25', 'c45', 'c27', 'c39', 'c56', 'c28', 'c57', 'c46', 'c17', 'c36', 'c29', 'c8', 'c22'], 2172.1163450374233)
cities_60.dat NN results: 6761.3058919495
