cities_100_1.dat results: (['c20', 'c2', 'c77', 'c0', 'c18', 'c6', 'c56', 'c73', 'c3', 'c9', 'c74', 'c61', 'c28', 'c98', 'c15', 'c8', 'c71', 'c25', 'c50', 'c69', 'c21', 'c14', 'c94', 'c34', 'c81', 'c42', 'c62', 'c84', 'c68', 'c55', 'c63', 'c33', 'c49', 'c89', 'c26', 'c13', 'c70', 'c96', 'c40', 'c92', 'c27', 'c95', 'c97', 'c36', 'c75', 'c66', 'c64', 'c88', 'c99', 'c37', 'c59', 'c83', 'c22', 'c17', 'c51', 'c80', 'c52', 'c46', 'c7', 'c58', 'c87', 'c48', 'c12', 'c90', 'c30', 'c93', 'c24', 'c41', 'c23', 'c10', 'c67', 'c31', 'c44', 'c60', 'c86', 'c19', 'c45', 'c72', 'c54', 'c4', 'c11', 'c47', 'c38', 'c29', 'c85', 'c82', 'c53', 'c39', 'c32', 'c91', 'c57', 'c1', 'c35', 'c43', 'c16', 'c78', 'c5', 'c79', 'c76', 'c65'], 2401.386033041816)
cities_100_2.dat results: (['c52', 'c92', 'c91', 'c3', 'c43', 'c49', 'c98', 'c64', 'c46', 'c31', 'c48', 'c11', 'c84', 'c26', 'c55', 'c0', 'c17', 'c65', 'c29', 'c16', 'c13', 'c89', 'c94', 'c69', 'c20', 'c59', 'c5', 'c8', 'c44', 'c7', 'c23', 'c19', 'c78', 'c85', 'c34', 'c81', 'c72', 'c83', 'c82', 'c53', 'c30', 'c21', 'c93', 'c36', 'c76', 'c96', 'c33', 'c57', 'c80', 'c1', 'c58', 'c22', 'c75', 'c2', 'c87', 'c39', 'c27', 'c42', 'c63', 'c10', 'c14', 'c61', 'c6', 'c50', 'c56', 'c73', 'c38', 'c62', 'c97', 'c68', 'c45', 'c18', 'c77', 'c74', 'c12', 'c54', 'c9', 'c60', 'c67', 'c28', 'c79', 'c4', 'c15', 'c41', 'c90', 'c66', 'c70', 'c32', 'c35', 'c37', 'c71', 'c95', 'c99', 'c86', 'c47', 'c88', 'c40', 'c24', 'c25', 'c51'], 2389.410898256839)
cities_100_3.dat results: (['c53', 'c7', 'c40', 'c35', 'c17', 'c31', 'c25', 'c74', 'c50', 'c16', 'c58', 'c51', 'c59', 'c47', 'c62', 'c95', 'c85', 'c46', 'c72', 'c44', 'c78', 'c81', 'c24', 'c4', 'c98', 'c14', 'c8', 'c37', 'c67', 'c86', 'c23', 'c55', 'c75', 'c1', 'c82', 'c63', 'c93', 'c88', 'c18', 'c5', 'c71', 'c39', 'c90', 'c61', 'c38', 'c83', 'c49', 'c27', 'c42', 'c64', 'c70', 'c45', 'c69', 'c0', 'c10', 'c36', 'c33', 'c99', 'c15', 'c87', 'c6', 'c68', 'c73', 'c9', 'c32', 'c96', 'c91', 'c84', 'c19', 'c60', 'c3', 'c54', 'c12', 'c41', 'c34', 'c77', 'c92', 'c22', 'c57', 'c52', 'c30', 'c48', 'c66', 'c26', 'c76', 'c11', 'c28', 'c56', 'c29', 'c21', 'c43', 'c89', 'c97', 'c65', 'c2', 'c79', 'c94', 'c20', 'c80', 'c13'], 2356.4175037894356)
cities_100_4.dat results: (['c6', 'c96', 'c73', 'c71', 'c16', 'c28', 'c33', 'c58', 'c1', 'c9', 'c92', 'c70', 'c95', 'c3', 'c0', 'c80', 'c89', 'c38', 'c98', 'c39', 'c56', 'c35', 'c52', 'c40', 'c55', 'c54', 'c60', 'c63', 'c75', 'c57', 'c66', 'c17', 'c44', 'c65', 'c90', 'c81', 'c4', 'c84', 'c45', 'c20', 'c49', 'c25', 'c61', 'c72', 'c5', 'c97', 'c64', 'c77', 'c91', 'c47', 'c46', 'c32', 'c79', 'c15', 'c19', 'c51', 'c14', 'c67', 'c12', 'c8', 'c21', 'c87', 'c78', 'c18', 'c30', 'c88', 'c85', 'c22', 'c7', 'c34', 'c68', 'c82', 'c23', 'c93', 'c31', 'c59', 'c10', 'c24', 'c29', 'c26', 'c41', 'c50', 'c86', 'c99', 'c37', 'c48', 'c94', 'c43', 'c69', 'c83', 'c13', 'c11', 'c74', 'c36', 'c53', 'c2', 'c62', 'c42', 'c76', 'c27'], 2407.119074993301)
cities_100_5.dat results: (['c67', 'c82', 'c89', 'c59', 'c30', 'c29', 'c17', 'c38', 'c84', 'c73', 'c18', 'c26', 'c58', 'c62', 'c54', 'c3', 'c50', 'c66', 'c72', 'c32', 'c12', 'c36', 'c74', 'c39', 'c7', 'c16', 'c0', 'c90', 'c91', 'c37', 'c63', 'c55', 'c78', 'c46', 'c14', 'c27', 'c24', 'c68', 'c80', 'c76', 'c8', 'c21', 'c86', 'c42', 'c9', 'c52', 'c11', 'c57', 'c47', 'c45', 'c64', 'c79', 'c15', 'c51', 'c1', 'c56', 'c5', 'c25', 'c85', 'c49', 'c43', 'c23', 'c88', 'c99', 'c75', 'c13', 'c97', 'c20', 'c10', 'c35', 'c4', 'c92', 'c31', 'c98', 'c65', 'c6', 'c83', 'c61', 'c2', 'c77', 'c28', 'c22', 'c87', 'c81', 'c33', 'c70', 'c96', 'c53', 'c93', 'c69', 'c95', 'c19', 'c41', 'c40', 'c48', 'c34', 'c60', 'c94', 'c44', 'c71'], 2127.1308295918607)
cities_100.dat NN results: 9573.587177661402
